1,1,Rum,None,Lime,None,Lime,Sour,Muddling,Tipunch,Strong,White_Rum,None
2,2,Others,Syrup,Passion_Fruit,Lemon,None,Sour,Shake,Exotic_Cocktail_Passion_Fruit,Mild,Others,Blue_Curacao
3,3,Others,None,Lemon,Cucumber,Lemon_Slice,Sour,Mix,Builder,Mild,Others,None
4,4,Wine,None,Lemon,Rasberry,Lemon_Slice,Sour,Mix,Raspberry_Cocktail,Mild,Cremant,None
5,5,Wine,Liqueur,Orange,None,Rasberry,Sweet,Mix,Cocktail_For_Lovers,Mild,Champagne,Cointreau
6,6,Others,None,Orange,Pineapple,Ananas_Slice,Sweet,Shake,Coconut_Kiss,Mild,Others,None
7,7,Vodka,Others,None,None,None,Spicy,Layer,Shot_Spice,Strong,Vodka,Tabasco
8,8,Gin,Wine,Lime,None,None,Sour,Mix,Cocktail_Martini,Strong,Gin,Vermouth
9,9,None,None,Strawberry,Lemonade,None,Sweet,Mix,Cocktail_Sparkling_Strawberry_Lime,None,None,None
10,10,None,None,Orange,Lemon,None,Sweet,Shake,Citrus_Cocktail_Without_Alcohol,None,None,None
11,11,Wine,Wine,None,None,None,Bitter,Mix,Citrouillette,Mild,Champagne,Noilly_Prat
12,12,Brandy,None,Apricot,None,None,Bitter,Mix,Cocktail_Grand_Paradis,Strong,Cognac,None
13,13,Whiskey,Liqueur,None,None,None,Bitter,Shake,Cocktail_Red_Lion,Very_Strong,Whiskey,Creme_De_Cassis
14,14,Rum,Syrup,None,None,None,Sour,Shake,Bacardi_Cocktail,Strong,Rum,Grenadine
15,15,Vodka,Liqueur,Lemon,None,Lemon_Slice,Sour,Mix,Cocktail_Balalaika,Strong,Vodka,Cointreau
16,16,Others,Others,Apple,Lemon,None,Sweet,Mix,Raifortissimo,Mild,Others,Wasabi
17,17,Others,None,Raspberry,Lemon,None,Sweet,Mix,Cocktail_Cranberry_Orange,Mild,Others,None
18,18,Rum,None,Pineapple,None,None,Sweet,Blend,Pina_Colada,Strong,Rum,None
19,19,Rum,None,None,Coconut,None,Bitter,Mix,Coconut_Cocktail_Lovers,Strong,Rum,None
